number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_mask_number,params_rsi_window,params_so_smooth,params_so_window,params_srsi_smooth1,params_srsi_smooth2,params_srsi_window,params_tsi_window_fast,params_tsi_window_slow,params_ult_weight_1,params_ult_weight_2,params_ult_weight_3,params_ult_window_1,params_ult_window_2,params_ult_window_3,params_williams_lbp,state
22,0.27107872900222624,2024-04-11 16:02:41.378379,2024-04-11 16:02:41.691336,0 days 00:00:00.312957,68.19149780068348,4.518014054385415,sigmoid,10,,19.0,18.0,,,,,,4.345665686729054,8.080530117739242,5.501754769564635,16.0,35.0,63.0,,COMPLETE
23,0.4793810840322468,2024-04-11 16:02:41.691336,2024-04-11 16:02:42.016601,0 days 00:00:00.325265,20.045495895178263,9.656020477143466,sigmoid,26,,10.0,7.0,4.0,7.0,43.0,,,0.7051185252109589,4.680691186907525,8.280625691428451,10.0,23.0,57.0,,COMPLETE
24,0.46239253254728574,2024-04-11 16:02:42.017616,2024-04-11 16:02:42.268440,0 days 00:00:00.250824,58.159881608112094,6.154238983357506,sigmoid,16,,,,2.0,7.0,17.0,,,,,,,,,,COMPLETE
25,0.4913112965828661,2024-04-11 16:02:42.269439,2024-04-11 16:02:42.711460,0 days 00:00:00.442021,88.38714209914477,7.619718797676745,sigmoid,62,46.0,23.0,39.0,4.0,5.0,64.0,13.0,24.0,3.797616226210007,6.7954031128823456,6.001795364921719,13.0,31.0,71.0,,COMPLETE
26,0.4901748380527331,2024-04-11 16:02:42.712581,2024-04-11 16:02:43.182573,0 days 00:00:00.469992,76.84399859427302,0.8389557167609181,sigmoid,37,3.0,,,,,,30.0,32.0,,,,,,,138.0,COMPLETE
27,0.36332006289518587,2024-04-11 16:02:43.183772,2024-04-11 16:02:43.490572,0 days 00:00:00.306800,11.092799964938457,8.54283289127776,sigmoid,41,16.0,33.0,20.0,,,,,,,,,,,,10.0,COMPLETE
28,0.0,2024-04-11 16:02:43.491620,2024-04-11 16:02:43.963536,0 days 00:00:00.471916,36.36757440748454,0.010832604669902324,sigmoid,20,,,,2.0,8.0,15.0,42.0,44.0,,,,,,,,COMPLETE
29,0.36765020312165914,2024-04-11 16:02:43.965070,2024-04-11 16:02:44.850874,0 days 00:00:00.885804,49.11683558668817,3.7319203866273876,rbf,52,38.0,,,3.0,6.0,45.0,18.0,13.0,,,,,,,,COMPLETE
30,0.3718134366054891,2024-04-11 16:02:44.850874,2024-04-11 16:02:45.146476,0 days 00:00:00.295602,61.547236313680784,4.779352861203181,sigmoid,60,37.0,14.0,25.0,5.0,4.0,2.0,31.0,32.0,,,,,,,,COMPLETE
31,0.5637734351750817,2024-04-11 16:02:45.147617,2024-04-11 16:02:45.456757,0 days 00:00:00.309140,54.90210155608605,5.517421463912066,sigmoid,16,,,,3.0,7.0,32.0,,,,,,,,,,COMPLETE
32,0.38054602232322293,2024-04-11 16:02:45.457794,2024-04-11 16:02:45.795973,0 days 00:00:00.338179,73.68379340291125,6.813320865295363,sigmoid,56,14.0,43.0,16.0,2.0,7.0,40.0,,,,,,,,,,COMPLETE
33,0.4732674253554798,2024-04-11 16:02:45.796985,2024-04-11 16:02:46.175199,0 days 00:00:00.378214,44.624136811554024,5.268243205950204,sigmoid,59,37.0,2.0,5.0,4.0,8.0,69.0,,,6.0522949100102945,8.525002694896898,6.846275458504589,7.0,46.0,81.0,135.0,COMPLETE
34,0.4441298603246509,2024-04-11 16:02:46.176192,2024-04-11 16:02:46.654073,0 days 00:00:00.477881,28.628993852092094,1.4631540112201438,sigmoid,55,15.0,,,3.0,6.0,21.0,10.0,25.0,7.394733761224108,9.180075247186892,4.80284888456094,14.0,23.0,58.0,57.0,COMPLETE
35,0.29939742428419513,2024-04-11 16:02:46.655074,2024-04-11 16:02:47.373916,0 days 00:00:00.718842,52.25987524201473,7.870872917917463,rbf,44,32.0,23.0,37.0,,,,2.0,11.0,,,,,,,,COMPLETE
36,0.39524133628268393,2024-04-11 16:02:47.374929,2024-04-11 16:02:47.695680,0 days 00:00:00.320751,63.25437649154862,6.0786010076975465,sigmoid,48,9.0,,,2.0,7.0,49.0,,,,,,,,,,COMPLETE
37,0.2876762572336783,2024-04-11 16:02:47.696680,2024-04-11 16:02:48.474913,0 days 00:00:00.778233,42.07025682355284,3.124850215540904,rbf,23,,,,1.0,7.0,37.0,49.0,46.0,1.727121727810018,7.095056978538109,2.8789881113175353,4.0,35.0,70.0,117.0,COMPLETE
38,0.5456458676980831,2024-04-11 16:02:48.476914,2024-04-11 16:02:48.871916,0 days 00:00:00.395002,24.01746050441087,2.0970431891029326,sigmoid,12,,7.0,7.0,,,,34.0,38.0,,,,,,,,COMPLETE
39,0.28079199836701363,2024-04-11 16:02:48.872915,2024-04-11 16:02:49.512559,0 days 00:00:00.639644,10.669437993208568,4.073525489169935,rbf,13,,49.0,23.0,,,,21.0,29.0,,,,,,,168.0,COMPLETE
40,0.37145283419432445,2024-04-11 16:02:49.513560,2024-04-11 16:02:49.827329,0 days 00:00:00.313769,90.72831033689462,5.115595098448213,sigmoid,7,,,,,,,41.0,20.0,5.697492176067536,5.329859641596007,8.879758431189732,17.0,50.0,87.0,89.0,COMPLETE
41,0.19234070380512525,2024-04-11 16:02:49.828332,2024-04-11 16:02:50.073368,0 days 00:00:00.245036,55.253980606055634,5.53080988155166,sigmoid,16,,,,3.0,7.0,29.0,,,,,,,,,,COMPLETE
42,0.5664599940950694,2024-04-11 16:02:50.074371,2024-04-11 16:02:50.379259,0 days 00:00:00.304888,48.08904544400011,5.721330151898759,sigmoid,16,,,,3.0,8.0,34.0,,,,,,,,,,COMPLETE
43,0.3211885524428,2024-04-11 16:02:50.379259,2024-04-11 16:02:50.602054,0 days 00:00:00.222795,47.48233419819529,6.95040770314789,sigmoid,36,21.0,,,,,,13.0,46.0,,,,,,,,COMPLETE
44,0.38628855430492615,2024-04-11 16:02:50.603191,2024-04-11 16:02:50.937148,0 days 00:00:00.333957,35.416672995167225,5.878597602783981,sigmoid,27,,34.0,15.0,4.0,8.0,24.0,,,3.7204397241118192,2.4968463366618963,9.961014501224145,11.0,28.0,60.0,42.0,COMPLETE
45,0.4190305943031298,2024-04-11 16:02:50.938196,2024-04-11 16:02:51.323821,0 days 00:00:00.385625,59.735751369391714,0.7112290084055595,sigmoid,54,43.0,,,2.0,8.0,38.0,27.0,11.0,9.996272636621221,5.874309982908773,7.1217167235899215,20.0,43.0,71.0,,COMPLETE
46,0.408590688195642,2024-04-11 16:02:51.324822,2024-04-11 16:02:51.644535,0 days 00:00:00.319713,80.7901803789569,4.960879060426996,sigmoid,61,31.0,42.0,50.0,3.0,6.0,49.0,46.0,32.0,,,,,,,153.0,COMPLETE
47,0.5517424480805537,2024-04-11 16:02:51.645536,2024-04-11 16:02:51.981575,0 days 00:00:00.336039,41.281484342350936,6.604795929569036,sigmoid,40,50.0,47.0,35.0,,,,,,,,,,,,,COMPLETE
48,0.35026024289336716,2024-04-11 16:02:51.982575,2024-04-11 16:02:52.696541,0 days 00:00:00.713966,28.196925220347886,4.080069209848425,rbf,32,8.0,,,,,,,,,,,,,,,COMPLETE
49,0.5623743476230125,2024-04-11 16:02:52.697567,2024-04-11 16:02:53.017104,0 days 00:00:00.319537,52.542100049207974,4.612022585661799,sigmoid,2,,,,,,,,,7.865939043934059,4.0864399759869645,4.898299126930681,9.0,22.0,79.0,,COMPLETE
50,0.5615081732490157,2024-04-11 16:02:53.018106,2024-04-11 16:02:53.275481,0 days 00:00:00.257375,67.99266471907109,0.34474395728396545,sigmoid,4,,,,,,,31.0,21.0,,,,,,,,COMPLETE
51,0.5369548133595284,2024-04-11 16:02:53.275481,2024-04-11 16:02:53.515390,0 days 00:00:00.239909,45.481026816176445,5.694524873079542,sigmoid,5,,,,,,,38.0,2.0,,,,,,,103.0,COMPLETE
52,0.44207955338450805,2024-04-11 16:02:53.516388,2024-04-11 16:02:53.804047,0 days 00:00:00.287659,53.60477830289774,5.439864514633535,sigmoid,16,,,,3.0,7.0,35.0,,,,,,,,,,COMPLETE
53,0.48342191167345616,2024-04-11 16:02:53.805048,2024-04-11 16:02:54.087180,0 days 00:00:00.282132,65.09010215211815,4.296277863990486,sigmoid,16,,,,3.0,8.0,26.0,,,,,,,,,,COMPLETE
54,0.5309850107066382,2024-04-11 16:02:54.088296,2024-04-11 16:02:54.366652,0 days 00:00:00.278356,56.517806348215196,7.076004643227539,sigmoid,34,30.0,,,,,,,,6.913444033544778,9.315009061846506,2.289317590066111,12.0,35.0,100.0,,COMPLETE
55,0.39848191108336345,2024-04-11 16:02:54.367653,2024-04-11 16:02:54.647753,0 days 00:00:00.280100,49.84463864799046,6.4344719992357575,sigmoid,53,20.0,,,4.0,7.0,33.0,16.0,42.0,,,,,,,198.0,COMPLETE
56,0.48624119654396275,2024-04-11 16:02:54.648754,2024-04-11 16:02:55.018410,0 days 00:00:00.369656,38.987251881474606,3.324140708208801,sigmoid,51,42.0,,,8.0,7.0,61.0,,,5.2767138977660215,7.637134946288567,8.44047733974986,15.0,32.0,76.0,29.0,COMPLETE
57,0.5372565541278078,2024-04-11 16:02:55.019408,2024-04-11 16:02:55.304598,0 days 00:00:00.285190,71.7399000331374,2.6437095660832663,sigmoid,33,10.0,,,,,,,,,,,,,,106.0,COMPLETE
58,0.43683807035974903,2024-04-11 16:02:55.305632,2024-04-11 16:02:55.592950,0 days 00:00:00.287318,99.33349823816862,5.012973557568716,sigmoid,17,,,,2.0,8.0,55.0,,,,,,,,,51.0,COMPLETE
59,0.585513790372854,2024-04-11 16:02:55.593950,2024-04-11 16:02:55.853484,0 days 00:00:00.259534,94.80105604683848,1.1066509160290343,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
60,0.5032551200325512,2024-04-11 16:02:55.854502,2024-04-11 16:02:56.222358,0 days 00:00:00.367856,95.62038961123159,1.1481546552027622,sigmoid,45,20.0,25.0,28.0,,,,7.0,37.0,,,,,,,131.0,COMPLETE
61,0.5863711449328822,2024-04-11 16:02:56.223372,2024-04-11 16:02:56.451085,0 days 00:00:00.227713,93.48491787579778,0.6286751891965339,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
62,0.5854322450482764,2024-04-11 16:02:56.451085,2024-04-11 16:02:56.683327,0 days 00:00:00.232242,93.89480974423222,0.7523452357375572,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
63,0.5863711449328822,2024-04-11 16:02:56.683327,2024-04-11 16:02:56.922810,0 days 00:00:00.239483,92.19899828855034,0.6984786993369576,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
64,0.5863711449328822,2024-04-11 16:02:56.923861,2024-04-11 16:02:57.157933,0 days 00:00:00.234072,94.03886317967404,0.6816572987466492,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
65,0.5863711449328822,2024-04-11 16:02:57.157933,2024-04-11 16:02:57.407804,0 days 00:00:00.249871,93.84798376919049,0.6999717579526017,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
66,0.5836206735876839,2024-04-11 16:02:57.407804,2024-04-11 16:02:57.679719,0 days 00:00:00.271915,93.96465985519039,1.7428207924674224,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
67,0.5873898933704218,2024-04-11 16:02:57.680719,2024-04-11 16:02:57.917313,0 days 00:00:00.236594,84.44989549908132,0.7946756603106854,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
68,0.37216860677212876,2024-04-11 16:02:57.918297,2024-04-11 16:02:58.655380,0 days 00:00:00.737083,85.21585229916026,1.29727775771632,rbf,0,,,,,,,,,,,,,,,,COMPLETE
69,0.10504933255948928,2024-04-11 16:02:58.655380,2024-04-11 16:02:58.925669,0 days 00:00:00.270289,90.85219214129185,0.507842996210326,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
